timestep,Left Shoulder,Left UpperArm,Left ForeArm,Left Wrist1,Left Wrist2,Left Wrist3,Right Shoulder,Right UpperArm,Right ForeArm,Right Wrist1,Right Wrist2,Right Wrist3,Left EE Transform,Right EE Transform
0:00:00.041118,-0.20578666666666667,-2.1202733333333335,-1.6030666666666669,3.7186333333333335,-0.96508,0.0974,0.2028,-1.035932653589793,1.6057333333333335,-0.5738406797435401,0.9622,-0.0974,"[[0.9996462364525017, 0.01641796093656674, 0.02046180706973537, -0.02623150095704886, 0.6362794815403916, 0.7710124139338645, -0.00036097630013647453, -0.7712776944326704, 0.6364837641380305], [0.7014302029418213, 0.19152751212220048, 0.6191768964894999]]","[[0.999646888969003, -0.02072777870060512, 0.01604024717190584, 0.025539842859371442, 0.6329752756412339, -0.7737504858076543, 0.005885048964316184, 0.7738882798033853, 0.6332798008645809], [0.7000626959288673, -0.19564443482697066, 0.6142431412483309]]"
0:00:00.104634,-0.2169866666666667,-2.1726733333333335,-1.5770666666666668,3.7266333333333335,-0.9758800000000001,0.0974,0.2028,-1.0407326535897932,1.5737333333333334,-0.5658406797435401,0.9622,-0.0974,"[[0.9994528622072569, 0.00529324731766941, 0.03235415507660373, -0.028143895812965936, 0.644675028558366, 0.7639383987475574, -0.01681420096795625, -0.7644321415836097, 0.6444701246514823], [0.7135789891409208, 0.17485725726896176, 0.6359427078337468]]","[[0.9992830847727322, -0.03760192502837191, -0.0004949000141824251, 0.02294936072138856, 0.6202197076454092, -0.7840921970357119, 0.02979032275037811, 0.7835202738170876, 0.6206364407780827], [0.7072731752980458, -0.20341164207515133, 0.5997570826446684]]"
0:00:00.180893,-0.23117333333333337,-2.239046666666667,-1.5441333333333334,3.7367666666666666,-0.9895600000000001,0.0974,0.2028,-1.046812653589793,1.5332000000000001,-0.5557073464102068,0.9622,-0.0974,"[[0.9989016136800577, -0.0072862904605720275, 0.04607939442678443, -0.03011223734093351, 0.6537085062486488, 0.7561470253811163, -0.03563199895740004, -0.7567050342303033, 0.6527700785242462], [0.7262773359759954, 0.15602928754394557, 0.656251814116182]]","[[0.9980969467901668, -0.05817806091673017, -0.019965771691396222, 0.01932402119709945, 0.6047628041687481, -0.7961709454508704, 0.05839423784005317, 0.7942717884464496, 0.6047343247911715], [0.715337541844861, -0.21332433162249004, 0.5823298746679755]]"
0:00:00.244544,-0.2416266666666667,-2.2879533333333333,-1.5198666666666667,3.7442333333333333,-0.9996400000000001,0.0974,0.2028,-1.051932653589793,1.4990666666666668,-0.5471740130768734,0.9622,-0.0974,"[[0.9981605356783894, -0.017816538446131673, 0.05778365937541205, -0.03160889758484356, 0.6609058544431144, 0.7498027968771044, -0.05154844912993458, -0.750250913042173, 0.6591261066779696], [0.7360055996690219, 0.14031472413457224, 0.6743092027780776]]","[[0.9963572137968956, -0.07674885671857161, -0.03691545372513204, 0.01563154000808928, 0.5908998219582924, -0.8065932088170398, 0.08371844164736207, 0.803079960777288, 0.5899449590991512], [0.7219542141332301, -0.22266603208304794, 0.5668226427222964]]"
0:00:00.304326,-0.2528266666666667,-2.3403533333333333,-1.4938666666666667,3.7522333333333333,-1.01044,0.0974,0.2028,-1.056412653589793,1.4692,-0.5397073464102068,0.9622,-0.0974,"[[0.9972288363388458, -0.027680111828661848, 0.068915133966063, -0.032891960900888556, 0.6673541575083148, 0.7440137567646223, -0.06658518515680205, -0.7442194903827233, 0.6645935931495524], [0.7443314733487449, 0.1256547655063126, 0.6920585495360638]]","[[0.9941418540805849, -0.09438284637406529, -0.052485132275813404, 0.011771341559555866, 0.5778098240663062, -0.8160862059757288, 0.10735096405298566, 0.8106898886274541, 0.5755336873773162], [0.7276754231629305, -0.23186652857952544, 0.5522910231373171]]"
0:00:00.371843,-0.2647733333333334,-2.396246666666667,-1.4661333333333333,3.7607666666666666,-1.0219600000000002,0.0974,0.2028,-1.061532653589793,1.4350666666666667,-0.5311740130768734,0.9622,-0.0974,"[[0.9957749555988347, -0.03969906233308383, 0.08268651627428057, -0.034307865188736325, 0.674837295548145, 0.7371685933949593, -0.08506484696001149, -0.7368914567201464, 0.670623452422088], [0.7533968798199847, 0.10789608766110104, 0.7147263967712517]]","[[0.9913628548782087, -0.11221853573915795, -0.06773130136052403, 0.007528767817435838, 0.5646404853171011, -0.8253022399752081, 0.13085804378363014, 0.8176665167275884, 0.5606060055938699], [0.7329214734872656, -0.24148504900308088, 0.5377841408548745]]"
0:00:00.443741,-0.27746666666666675,-2.4556333333333336,-1.4366666666666665,3.769833333333333,-1.0342000000000002,0.0974,0.2028,-1.0669726535897932,1.3988,-0.5221073464102067,0.9622,-0.0974,"[[0.993955290563829, -0.05175938870363402, 0.09671962275900048, -0.03557500911879667, 0.6819428929172863, 0.7305397063834552, -0.1037695479722813, -0.7295651214803437, 0.6759788916604801], [0.761243664688243, 0.09022175341382652, 0.7385572086045912]]","[[0.9872873297479645, -0.13386676754423388, -0.08558188724725906, 0.0019379204489066249, 0.548747931753055, -0.8359851437369259, 0.1588735125295205, 0.8251944049398314, 0.5420285878312587], [0.738578333868073, -0.2535640170305504, 0.5204340109404684]]"
0:00:00.510386,-0.2894133333333334,-2.5115266666666667,-1.4089333333333334,3.778366666666667,-1.0457200000000002,0.0974,0.2028,-1.0720926535897932,1.3646666666666665,-0.5135740130768734,0.9622,-0.0974,"[[0.9918975927764834, -0.06314415821876297, 0.11014908949154789, -0.036639070625160725, 0.6882885500800693, 0.7245111538142132, -0.12156300402648053, -0.7226770351350039, 0.6803978072296974], [0.7674491552946352, 0.07369877633762678, 0.7619863867176878]]","[[0.9829899833893289, -0.15331468931467543, -0.10102546618161799, -0.0034843199448088016, 0.5345538512018453, -0.8451266854271566, 0.18357388722465182, 0.8311060078026269, 0.5249239475978351], [0.743012392769004, -0.2647776516536253, 0.5050886423325278]]"
0:00:00.581018,-0.3028533333333334,-2.5744066666666665,-1.3777333333333333,3.7879666666666667,-1.05868,0.0974,0.2028,-1.077532653589793,1.3283999999999998,-0.5045073464102068,0.9622,-0.0974,"[[0.9893336556644883, -0.0752726077702361, 0.12463464869813673, -0.037641507160170284, 0.6946706490561909, 0.7183423791816516, -0.1406515364589036, -0.7153720247950144, 0.6844273815501075], [0.7727219462984063, 0.056297346086984786, 0.7878710946718274]]","[[0.9777330225200603, -0.17416820145126832, -0.11698044982186989, -0.009706242952576242, 0.5194187612448684, -0.8544640782139379, 0.20958231204358055, 0.8365763551942385, 0.5061591878070361], [0.7471014161104546, -0.2771671655033998, 0.48888890469406354]]"
0:00:00.646827,-0.31330666666666673,-2.6233133333333334,-1.3534666666666666,3.7954333333333334,-1.0687600000000002,0.0974,0.2028,-1.0826526535897931,1.2942666666666667,-0.4959740130768734,0.9622,-0.0974,"[[0.986739737107361, -0.08599874380949316, 0.13758543817304542, -0.03842381514868036, 0.6999964069082485, 0.7131119202324379, -0.157636041699594, -0.7089426326429598, 0.6874096641924206], [0.776192550967335, 0.041103268480816815, 0.8114958097655585]]","[[0.9725076401273484, -0.19271364657249995, -0.13065679182601134, -0.015585261272162717, 0.5060307714554347, -0.8623738954460378, 0.23230757526394635, 0.8407048939817986, 0.4891119270708502], [0.750170322489196, -0.28849152334795664, 0.4747048859688735]]"
